10m_sample,Conductivity,Debit Riviere,Niveau Riviere,O2,Pression EF,Pression Pompe,Probe Tank Temperature,Pump Flow,Riverlab,Turbidity,day_sample,hour_sample,pH,timedate
False,596.0,NULL,NULL,8.5,0.658,1.93,23.5,987,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 21:06:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.702,23.5,989,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:05:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.892,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:06:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.659,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:07:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.882,23.5,985,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:08:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,2.001,23.5,988,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:10:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.969,23.5,986,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:11:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,2.04,23.5,1005,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:12:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,2.001,23.5,986,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:13:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.926,23.5,979,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:14:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.944,23.5,1026,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:15:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.986,23.5,996,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:16:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.932,23.5,985,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:17:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,2.021,23.5,1011,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:18:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.761,23.5,997,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:19:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,1.943,23.5,1021,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:20:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.676,23.5,1014,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:21:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.798,23.5,1005,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:22:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.658,23.5,1010,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:23:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.956,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:24:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.76,23.5,1012,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:26:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.84,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:28:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.701,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:29:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.993,23.5,1029,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:32:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.888,23.5,986,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:34:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.886,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:35:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.999,23.5,982,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:36:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.707,23.5,1012,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:37:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.857,23.5,988,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:38:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.84,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:39:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,1.785,23.5,1027,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:40:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.741,23.5,1005,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:41:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,2.054,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:42:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.935,23.5,975,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:43:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.864,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:44:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.699,23.5,1010,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:45:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.823,23.5,1001,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:46:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.887,23.5,1001,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:47:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.843,23.5,1004,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:48:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.881,23.5,986,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:49:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.838,23.5,1021,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:51:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.654,23.5,1016,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:52:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.832,23.5,994,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:53:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.892,23.5,1023,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:54:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.847,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:55:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.875,23.5,988,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:56:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.838,23.5,988,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:57:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.733,23.5,994,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:58:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.924,23.5,982,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 01:59:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,1.825,23.5,990,Monticello,59.75,False,True,6.90625,"Fri, 06 Aug 2021 02:00:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.915,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:01:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.859,23.5,997,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:02:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.938,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:03:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.812,23.5,986,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:04:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.709,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:05:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.967,23.5,985,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:06:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.757,23.5,1009,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:07:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.848,23.5,1018,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:08:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.767,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:09:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.709,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:11:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.934,23.5,997,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:13:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.796,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:14:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.686,23.5,1023,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:15:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.757,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:16:00 GMT"
False,596.0,NULL,NULL,8.5,0.656,1.973,23.5,983,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:17:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.681,23.5,1020,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:18:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.887,23.5,983,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:19:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.734,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:22:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.806,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:23:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,2.015,23.5,1011,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:24:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.953,23.5,992,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:25:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.821,23.5,999,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:26:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.822,23.5,1015,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:27:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.782,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:28:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.979,23.5,975,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:29:00 GMT"
True,596.0,NULL,NULL,8.5,0.657,1.817,23.5,1005,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:30:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.834,23.5,1007,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:31:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.771,23.5,996,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:32:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.789,23.5,990,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:33:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.662,23.5,1003,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:34:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.943,23.5,993,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:35:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.669,23.5,1020,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:36:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.816,23.5,996,Monticello,59.75,False,False,6.90625,"Fri, 06 Aug 2021 02:37:00 GMT"
